shipment_id,order_id,carrier,tracking_number,status,shipped_at,delivered_at
9000000000,1000000000,Correo Argentino,TRK-LM6S0ZIUQ6,DELIVERED,2024-11-27 07:50:47,2024-11-30 07:50:47
9000000001,1000000001,Correo Argentino,TRK-S7JYRIGG48,READY,2024-02-01 01:00:04,2024-02-05 01:00:04
9000000002,1000000002,Correo Argentino,TRK-YI8R5NTIPW,DELIVERED,2025-02-27 19:39:44,2025-03-01 19:39:44
9000000003,1000000003,Correo Argentino,TRK-UWNN6LXYNU,DELIVERED,2025-03-02 17:35:36,2025-03-06 17:35:36
9000000004,1000000004,PICKUP,,DELIVERED,2024-03-30 02:46:36,2024-03-31 02:46:36
9000000005,1000000005,PICKUP,,DELIVERED,2024-03-12 20:54:35,2024-03-13 20:54:35
9000000006,1000000006,Correo Argentino,TRK-UCA7R6D2X6,DELIVERED,2025-07-16 22:55:56,2025-07-20 22:55:56
9000000007,1000000007,Correo Argentino,TRK-EEAFDZHDID,DELIVERED,2024-11-12 20:15:00,2024-11-15 20:15:00
9000000008,1000000008,Correo Argentino,TRK-99ZZCRAXY6,DELIVERED,2024-08-26 03:29:28,2024-08-28 03:29:28
9000000009,1000000009,Correo Argentino,TRK-M4QI31HO4X,SHIPPED,2024-03-31 10:34:46,2024-04-03 10:34:46
9000000010,1000000010,PICKUP,,DELIVERED,2024-03-13 02:19:39,2024-03-14 02:19:39
9000000011,1000000011,PICKUP,,DELIVERED,2025-06-17 03:46:29,2025-06-18 03:46:29
9000000012,1000000012,PICKUP,,DELIVERED,2024-08-09 14:38:29,2024-08-10 14:38:29
9000000013,1000000013,PICKUP,,SHIPPED,2025-03-23 11:26:14,2025-03-24 11:26:14
9000000014,1000000014,Correo Argentino,TRK-TEL745CSF0,SHIPPED,2025-08-19 12:46:12,2025-08-24 12:46:12
9000000015,1000000015,Correo Argentino,,CANCELLED,,
9000000016,1000000016,Correo Argentino,TRK-2QJED48Q5H,DELIVERED,2025-08-28 22:46:32,2025-09-02 22:46:32
9000000017,1000000017,PICKUP,,DELIVERED,2025-02-19 14:36:04,2025-02-20 14:36:04
9000000018,1000000018,Correo Argentino,,CANCELLED,,
9000000019,1000000019,Correo Argentino,TRK-LU2ZLGLEOH,DELIVERED,2025-04-22 04:12:18,2025-04-26 04:12:18
9000000020,1000000020,Correo Argentino,TRK-UD7KW642LM,DELIVERED,2024-05-07 01:36:24,2024-05-11 01:36:24
9000000021,1000000021,Correo Argentino,TRK-4588YSVCZA,DELIVERED,2025-09-24 22:05:51,2025-09-26 22:05:51
9000000022,1000000022,PICKUP,,DELIVERED,2024-03-31 02:16:34,2024-04-01 02:16:34
9000000023,1000000023,PICKUP,,DELIVERED,2025-07-05 19:42:57,2025-07-06 19:42:57
9000000024,1000000024,PICKUP,,DELIVERED,2025-03-02 15:57:05,2025-03-03 15:57:05
9000000025,1000000025,Correo Argentino,TRK-YJMLEQMJ1S,DELIVERED,2025-08-27 06:57:45,2025-08-31 06:57:45
9000000026,1000000026,Correo Argentino,TRK-IWZB9131BN,DELIVERED,2024-12-13 23:59:48,2024-12-16 23:59:48
9000000027,1000000027,Correo Argentino,TRK-F7ZF8SQ633,DELIVERED,2024-12-03 01:44:59,2024-12-06 01:44:59
9000000028,1000000028,Correo Argentino,TRK-NW8EX6WAQP,DELIVERED,2024-05-18 06:11:07,2024-05-22 06:11:07
9000000029,1000000029,Correo Argentino,TRK-SNH0E9H2BV,DELIVERED,2025-09-15 02:43:49,2025-09-20 02:43:49
9000000030,1000000030,PICKUP,,SHIPPED,2025-06-09 19:02:55,2025-06-10 19:02:55
9000000031,1000000031,PICKUP,,SHIPPED,2025-05-10 11:15:07,2025-05-11 11:15:07
9000000032,1000000032,Correo Argentino,TRK-AF3QHYH0G0,DELIVERED,2025-03-16 14:37:22,2025-03-18 14:37:22
