payment_id,order_id,method,status,amount,paid_at,transaction_ref
7000000000,1000000000,CARD,PAID,63636.0,2024-11-27 00:50:47,TX-1HW3GM7Q6LFJ
7000000001,1000000001,GATEWAY,PENDING,78146.4,,
7000000002,1000000002,CARD,PAID,32064.6,2025-02-28 07:39:44,TX-8PBOWVHD7B4I
7000000003,1000000003,CARD,PAID,30855.0,2025-03-02 15:35:36,TX-SQ97NPWQ6YK8
7000000004,1000000004,CARD,PAID,53451.75,2024-04-01 01:46:36,TX-F7761XS1CXDC
7000000005,1000000005,CASH,PAID,29040.0,2024-03-13 14:54:35,TX-RNWJHS1F8G0Y
7000000006,1000000006,CARD,REFUNDED,18442.5,2025-07-17 12:55:56,TX-X2AJGZ36N3FR
7000000007,1000000007,CARD,PAID,17535.0,2024-11-14 13:15:00,TX-ZRHVYPGQTDRK
7000000008,1000000008,CARD,PAID,109011.0,2024-08-25 23:29:28,TX-CHL80ZD8IP5O
7000000009,1000000009,GATEWAY,PAID,16718.25,2024-03-31 18:34:46,TX-J2VP8C6ROCZQ
7000000010,1000000010,TRANSFER,REFUNDED,17787.0,2024-03-14 03:19:39,TX-1UN1COQAVK65
7000000011,1000000011,CASH,PAID,41309.4,2025-06-17 07:46:29,TX-U5CXUHGK42O6
7000000012,1000000012,CARD,PAID,42688.8,2024-08-12 06:38:29,TX-GS664FN80M9E
7000000013,1000000013,CASH,PAID,123283.88,2025-03-23 14:26:14,TX-BZOPSO6JPRZD
7000000014,1000000014,CARD,PAID,15129.6,2025-08-20 03:46:12,TX-AD0J2NGELHNC
7000000015,1000000015,CARD,FAILED,29659.2,,
7000000016,1000000016,GATEWAY,PAID,28642.8,2025-08-29 20:46:32,TX-Y2BIADVO9F18
7000000017,1000000017,CARD,PAID,80912.7,2025-02-20 01:36:04,TX-O7MTCOYJ61AJ
7000000018,1000000018,GATEWAY,FAILED,100107.9,,
7000000019,1000000019,CARD,PAID,46023.24,2025-04-23 12:12:18,TX-EMS8E80975XQ
7000000020,1000000020,CARD,PAID,59895.0,2024-05-06 15:36:24,TX-EZKXQ80I4527
7000000021,1000000021,CARD,PAID,29659.2,2025-09-25 01:05:51,TX-BE5NW8R3MU50
7000000022,1000000022,TRANSFER,REFUNDED,29040.0,2024-04-02 19:16:34,TX-I1Q2G15R83Y7
7000000023,1000000023,CASH,PAID,82764.0,2025-07-08 19:42:57,TX-3TFFR8COO0FP
7000000024,1000000024,CARD,PAID,14229.6,2025-03-03 09:57:05,TX-91AAY0A1V9Q3
7000000025,1000000025,CARD,PAID,86005.88,2025-08-27 17:57:45,TX-SVYYRKPOYWM4
7000000026,1000000026,CARD,PAID,17535.0,2024-12-15 07:59:48,TX-9O9IH4O8JG78
7000000027,1000000027,CARD,PAID,28488.0,2024-12-02 05:44:59,TX-C245O7O7GRI9
7000000028,1000000028,CARD,PAID,14520.0,2024-05-18 09:11:07,TX-J6HQJG5HEW5S
7000000029,1000000029,CARD,PAID,79235.4,2025-09-14 21:43:49,TX-DRZ2QYPBHF3H
7000000030,1000000030,CARD,PAID,41382.0,2025-06-11 19:02:55,TX-13PMNCYBLOP6
7000000031,1000000031,CASH,PAID,28459.2,2025-05-13 08:15:07,TX-PFV0D0IML4NF
7000000032,1000000032,CARD,PAID,33870.0,2025-03-16 16:37:22,TX-UM2KN2XHQSHB
7000000033,1000000033,CASH,PAID,17787.0,2024-06-08 12:23:04,TX-PO2UBATPZ00H
7000000034,1000000034,CASH,PAID,103318.88,2024-11-19 15:24:31,TX-922WAHDO61XN
7000000035,1000000035,CARD,PAID,26136.0,2024-01-13 09:54:27,TX-Y8T15028LSUX
7000000036,1000000036,CARD,PAID,61158.0,2024-09-26 11:59:17,TX-WSO0CISUVYK2
7000000037,1000000037,CARD,PAID,31082.16,2024-01-27 15:07:55,TX-VCRJJP6E0CCG
7000000038,1000000038,CARD,PAID,14229.6,2024-02-02 23:29:21,TX-DIL01AV2R2A9
7000000039,1000000039,CARD,PAID,71583.6,2024-05-23 19:42:33,TX-GO2N5MUY0V3U
7000000040,1000000040,CARD,FAILED,14994.0,,
7000000041,1000000041,CASH,PAID,29657.1,2024-01-15 03:59:03,TX-B543BB9H5C7R
7000000042,1000000042,GATEWAY,PAID,13914.6,2024-09-28 02:17:36,TX-X79V37PRDDTB
7000000043,1000000043,CARD,PAID,48816.0,2024-05-22 23:46:11,TX-3MPXSV4DAUND
7000000044,1000000044,GATEWAY,PAID,90435.0,2025-09-05 11:32:15,TX-4JUJUM3AY4L6
7000000045,1000000045,GATEWAY,PAID,44460.0,2024-02-03 22:14:28,TX-6G4YWKOODVMB
7000000046,1000000046,CARD,PAID,39930.0,2024-01-15 01:01:18,TX-OAGVE3OT79YR
7000000047,1000000047,CASH,PAID,13068.0,2024-03-08 13:53:37,TX-AL44LOCGN4MF
7000000048,1000000048,CARD,PENDING,28459.2,,
7000000049,1000000049,TRANSFER,PAID,49005.0,2024-08-13 06:35:54,TX-66ID36XC53T2
7000000050,1000000050,GATEWAY,PAID,35685.0,2024-07-25 13:25:00,TX-7PTIHWUY0CDA
7000000051,1000000051,CARD,PAID,38252.7,2024-09-18 03:10:33,TX-F093FL0ELLCQ
7000000052,1000000052,CARD,PAID,85377.6,2024-11-06 16:12:44,TX-LC4H6TVD1ZOD
7000000053,1000000053,CARD,FAILED,33570.0,,
7000000054,1000000054,CASH,PAID,14941.08,2024-03-18 14:19:59,TX-BABHWIKVNZZ3
7000000055,1000000055,CARD,PAID,51727.5,2025-07-24 16:26:45,TX-RJQ9HE6VB7HF
7000000056,1000000056,CARD,PAID,87140.25,2025-04-15 04:37:15,TX-0RAAOO91OA8N
7000000057,1000000057,CASH,PAID,34394.25,2025-02-23 13:51:12,TX-UXBOXO5T9DHX
7000000058,1000000058,CARD,FAILED,53953.5,,
7000000059,1000000059,CARD,PAID,77682.0,2024-07-03 10:26:37,TX-7033ZUJCIUHD
7000000060,1000000060,CARD,FAILED,35283.6,,
7000000061,1000000061,CARD,PAID,15720.0,2025-03-03 09:20:56,TX-5BCIDL8LGH8R
7000000062,1000000062,TRANSFER,PAID,54450.0,2024-12-24 17:02:28,TX-T7NWUQIQ9VOB
7000000063,1000000063,GATEWAY,PAID,46323.24,2024-06-01 23:17:58,TX-D4XNYWF5QEYL
7000000064,1000000064,GATEWAY,PAID,19168.5,2025-03-07 07:45:27,TX-N8533KHZH4J5
7000000065,1000000065,GATEWAY,PAID,43888.8,2024-09-18 07:43:41,TX-JPJLBWJ1IRVA
7000000066,1000000066,GATEWAY,FAILED,43888.8,,
7000000067,1000000067,GATEWAY,REFUNDED,18687.0,2025-04-12 04:23:15,TX-MZNG9JBD25OS
7000000068,1000000068,CARD,PAID,102166.35,2024-12-04 01:53:38,TX-PRTYVEKSVQUQ
7000000069,1000000069,CARD,PAID,53361.0,2024-06-14 13:38:45,TX-4QPQRW6T77VI
7000000070,1000000070,CARD,PAID,15420.0,2025-07-28 03:51:05,TX-4N53JR8S1YKT
7000000071,1000000071,CARD,PAID,14229.6,2024-07-24 02:00:06,TX-222J0CRS0SJJ
7000000072,1000000072,GATEWAY,PAID,17018.25,2024-02-04 08:20:17,TX-P43FW2ENH6BE
7000000073,1000000073,CARD,PAID,19576.35,2024-12-09 19:18:19,TX-HU7AKHXTZ1YN
7000000074,1000000074,CARD,PAID,69071.4,2024-12-14 15:41:02,TX-TR4GSE74V5DM
